Date,Attendance,Quarter,Place in Quarter,Temperature,Humidity,Wind Speed,Precipitation,Skyc1,Skyc2,Skyc3
2015-12-10 15:00:00,0,1,0.9876543209876543,55.04,61.56,29.6,0.00,BKN,BKN,M
2015-12-13 11:00:00,0,0,0,60.98,83.47,19.4,0.00,FEW,OVC,M
2015-11-01 15:00:00,67,1,0.5061728395061729,62.06,42.51,10.3,0.00,FEW,M,M
2015-12-23 10:00:00,0,0,0,57.02,96.17,16.0,0.21,OVC,M,M
2015-11-24 18:30:00,78,1,0.7901234567901234,35.96,78.79,11.4,0.00,FEW,M,M
2015-10-17 15:00:00,59,1,0.32098765432098764,53.06,29.35,14.8,0.00,FEW,M,M
2015-09-03 15:30:00,17,0,0,89.96,48.55,11.4,0.00,SCT,M,M
2015-10-31 09:30:00,42,1,0.49382716049382713,44.96,92.72,9.1,0.00,SCT,OVC,M
2015-10-21 20:00:00,116,1,0.37037037037037035,66.02,72.72,10.3,0.00,FEW,FEW,BKN
2015-10-07 21:30:00,88,1,0.19753086419753085,55.94,83.69,8.0,0.00,FEW,FEW,M
2015-09-23 09:30:00,80,1,0.024691358024691357,71.06,49.23,3.4,0.00,FEW,FEW,M
2015-11-12 16:30:00,100,1,0.6419753086419753,44.96,76.25,13.7,0.00,FEW,BKN,M
2015-11-07 16:00:00,82,1,0.5802469135802469,46.04,51.03,9.1,0.00,FEW,M,M
2015-10-02 10:30:00,80,1,0.13580246913580246,57.02,52.70,21.7,0.00,FEW,SCT,M
2015-11-30 07:00:00,26,1,0.8641975308641975,39.02,75.69,10.3,0.00,OVC,M,M
2015-09-23 22:00:00,0,1,0.024691358024691357,64.94,75.51,0.0,0.00,FEW,M,M
2015-09-19 10:00:00,124,0,0,62.06,72.33,13.7,0.00,BKN,BKN,M
2015-09-09 07:00:00,14,0,0,66.02,87.05,9.1,0.00,FEW,OVC,M
2015-09-30 20:00:00,224,1,0.1111111111111111,53.06,73.89,9.1,0.00,BKN,M,M
2015-09-17 10:30:00,73,0,0,77.00,57.73,13.7,0.00,FEW,SCT,M
2015-12-14 07:00:00,0,0,0,55.04,86.47,18.2,0.00,SCT,BKN,OVC
2015-12-31 09:00:00,0,0,0,24.98,77.82,13.7,0.00,BKN,BKN,M
2015-10-10 15:00:00,58,1,0.2345679012345679,64.94,44.78,9.1,0.00,BKN,M,M
2015-09-21 12:00:00,72,1,0.0,69.98,43.75,3.4,0.00,CLR,M,M
2015-12-16 09:30:00,0,0,0,44.06,92.69,13.7,0.03,SCT,BKN,OVC
2015-09-15 14:30:00,70,0,0,82.04,36.77,16.0,0.00,FEW,M,M
2015-12-30 19:00:00,0,0,0,26.96,81.03,9.1,0.00,OVC,M,M
2015-12-08 21:00:00,0,1,0.9629629629629629,46.04,85.97,12.5,0.00,FEW,OVC,M
2015-10-08 22:30:00,21,1,0.20987654320987653,64.04,89.78,4.6,0.00,SCT,M,M
2015-10-20 16:30:00,82,1,0.35802469135802467,73.94,29.24,12.5,0.00,BKN,BKN,OVC
2015-12-07 11:00:00,67,1,0.9506172839506173,33.08,100.00,4.6,0.00,OVC,M,M
2015-12-14 21:00:00,0,0,0,42.08,85.13,10.3,0.00,FEW,OVC,M
2015-10-20 06:00:00,9,1,0.35802469135802467,57.02,45.11,13.7,0.00,BKN,M,M
2015-10-07 08:00:00,48,1,0.19753086419753085,62.06,77.75,8.0,0.00,BKN,M,M
2015-09-18 07:30:00,38,0,0,68.00,89.94,8.0,0.00,BKN,BKN,BKN
2015-12-07 14:30:00,81,1,0.9506172839506173,37.04,92.46,9.1,0.00,OVC,M,M
2015-10-24 09:00:00,42,1,0.4074074074074074,64.94,93.30,11.4,0.04,BKN,BKN,OVC
2015-09-09 17:30:00,93,0,0,73.94,38.26,8.0,0.00,FEW,M,M
2015-11-10 13:00:00,75,1,0.6172839506172839,55.04,38.19,5.7,0.00,FEW,M,M
2015-09-05 19:30:00,0,0,0,77.00,76.57,5.7,0.00,FEW,SCT,BKN
2015-10-16 19:00:00,65,1,0.30864197530864196,46.94,45.48,9.1,0.00,SCT,SCT,M
2015-11-29 11:30:00,30,1,0.8518518518518519,39.92,69.96,6.8,0.00,FEW,FEW,BKN
2015-10-04 14:30:00,49,1,0.16049382716049382,55.94,80.40,14.8,0.00,OVC,M,M
2015-11-18 15:30:00,67,1,0.7160493827160493,55.94,66.52,16.0,0.00,FEW,SCT,BKN
2015-12-02 19:00:00,93,1,0.8888888888888888,32.00,78.45,12.5,0.00,SCT,M,M
2015-09-11 06:30:00,7,0,0,60.08,92.56,18.2,0.05,BKN,OVC,M
2015-09-02 12:00:00,35,0,0,87.08,55.19,12.5,0.00,FEW,SCT,M
2015-12-15 09:00:00,0,0,0,41.00,73.19,6.8,0.00,OVC,M,M
2015-10-17 13:00:00,43,1,0.32098765432098764,50.00,32.86,13.7,0.00,SCT,M,M
2015-12-09 11:30:00,0,1,0.9753086419753086,50.00,68.15,9.1,0.00,FEW,FEW,M
2015-12-04 18:30:00,87,1,0.9135802469135802,37.94,85.49,6.8,0.00,CLR,M,M
2015-09-06 22:30:00,0,0,0,80.06,62.29,11.4,0.00,FEW,M,M
2015-12-05 14:00:00,46,1,0.9259259259259259,44.06,59.64,8.0,0.00,SCT,M,M
2015-11-01 13:00:00,54,1,0.5061728395061729,62.96,44.47,8.0,0.00,FEW,M,M
2015-11-07 18:00:00,50,1,0.5802469135802469,42.08,57.22,8.0,0.00,CLR,M,M
2015-09-01 10:30:00,16,0,0,82.04,74.25,6.8,0.00,FEW,FEW,M
2015-10-21 10:00:00,51,1,0.37037037037037035,64.04,67.46,13.7,0.00,FEW,BKN,M
2015-09-06 09:00:00,10,0,0,82.04,60.25,10.3,0.00,FEW,M,M
2015-09-23 20:00:00,249,1,0.024691358024691357,66.02,72.72,4.6,0.00,SCT,M,M
2015-11-26 22:30:00,0,1,0.8148148148148148,57.02,83.21,16.0,0.00,OVC,M,M
2015-09-21 14:00:00,99,1,0.0,73.04,39.44,5.7,0.00,CLR,M,M
2015-11-13 20:30:00,54,1,0.654320987654321,35.96,64.03,5.7,0.00,CLR,M,M
2015-11-25 18:30:00,51,1,0.8024691358024691,48.92,65.67,19.4,0.00,OVC,M,M
2015-12-31 15:00:00,0,0,0,26.06,68.33,18.2,0.00,BKN,M,M
2015-10-10 13:00:00,2,1,0.2345679012345679,62.96,48.00,9.1,0.00,BKN,M,M
2015-09-24 13:30:00,80,1,0.037037037037037035,75.02,53.52,8.0,0.00,SCT,BKN,M
2015-12-01 16:30:00,112,1,0.8765432098765432,41.00,67.09,6.8,0.00,BKN,BKN,M
2015-09-20 11:30:00,69,0,0,66.92,52.35,0.0,0.00,FEW,SCT,M
2015-12-27 10:00:00,0,0,0,37.94,85.49,21.7,0.01,FEW,BKN,OVC
2015-10-31 07:30:00,2,1,0.49382716049382713,44.96,85.90,11.4,0.00,OVC,M,M
2015-10-14 10:30:00,69,1,0.2839506172839506,53.06,54.38,5.7,0.00,FEW,M,M
2015-09-02 07:30:00,16,0,0,73.94,84.80,5.7,0.00,FEW,M,M
2015-09-22 13:30:00,87,1,0.012345679012345678,77.00,37.21,4.6,0.00,FEW,SCT,M
2015-09-13 20:00:00,0,0,0,60.08,59.72,9.1,0.00,CLR,M,M
2015-11-22 23:30:00,0,1,0.7654320987654321,26.96,78.00,12.5,0.00,FEW,BKN,M
2015-12-04 15:00:00,110,1,0.9135802469135802,44.96,65.18,6.8,0.00,CLR,M,M
2015-11-10 11:00:00,58,1,0.6172839506172839,53.96,38.01,3.4,0.00,SCT,M,M
2015-09-07 09:00:00,0,0,0,80.96,64.77,8.0,0.00,FEW,SCT,BKN
2015-11-26 15:30:00,0,1,0.8148148148148148,57.92,90.11,13.7,0.00,SCT,BKN,OVC
2015-10-26 08:30:00,44,1,0.43209876543209874,46.94,83.09,0.0,0.00,FEW,M,M
2015-11-06 06:00:00,11,1,0.5679012345679012,44.06,78.91,21.7,0.00,FEW,M,M
2015-11-10 17:30:00,188,1,0.6172839506172839,44.96,57.63,4.6,0.00,FEW,M,M
2015-09-18 21:30:00,0,0,0,69.08,92.83,8.0,0.00,FEW,SCT,OVC
2015-12-30 12:00:00,0,0,0,28.94,74.70,10.3,0.00,OVC,M,M
2015-11-18 14:00:00,74,1,0.7160493827160493,55.94,69.30,22.8,0.00,SCT,BKN,BKN
2015-12-24 10:00:00,0,0,0,37.94,72.87,14.8,0.00,FEW,BKN,BKN
2015-10-07 10:00:00,55,1,0.19753086419753085,69.08,56.66,4.6,0.00,FEW,FEW,M
2015-10-11 07:00:00,0,1,0.24691358024691357,51.98,76.88,9.1,0.00,FEW,M,M
2015-10-24 11:00:00,57,1,0.4074074074074074,62.96,80.93,19.4,0.07,SCT,SCT,BKN
2015-12-13 15:00:00,0,0,0,59.00,93.13,13.7,0.08,BKN,BKN,OVC
2015-11-17 23:30:00,0,1,0.7037037037037037,60.08,69.29,20.5,0.00,SCT,OVC,M
2015-12-18 06:00:00,0,0,0,26.06,68.33,8.0,0.00,OVC,M,M
2015-11-24 16:00:00,75,1,0.7901234567901234,37.94,72.87,9.1,0.00,FEW,FEW,M
2015-09-14 21:00:00,1,0,0,71.96,53.08,14.8,0.00,SCT,SCT,M
2015-12-21 13:30:00,0,0,0,51.98,86.30,11.4,0.00,BKN,OVC,M
2015-11-05 17:30:00,156,1,0.5555555555555556,66.02,78.08,20.5,0.00,BKN,OVC,M
2015-12-10 12:30:00,0,1,0.9876543209876543,55.94,54.80,22.8,0.00,BKN,BKN,OVC
2015-09-14 15:30:00,63,0,0,82.04,36.77,20.5,0.00,FEW,M,M
2015-12-16 07:00:00,0,0,0,42.98,92.65,13.7,0.00,FEW,BKN,OVC
2015-12-14 09:00:00,0,0,0,50.00,82.73,13.7,0.01,FEW,BKN,OVC
2015-10-16 22:30:00,0,1,0.30864197530864196,41.00,54.97,10.3,0.00,FEW,M,M
2015-10-21 08:00:00,42,1,0.37037037037037035,60.08,74.56,12.5,0.00,SCT,BKN,BKN
2015-10-28 16:30:00,116,1,0.4567901234567901,51.98,82.87,10.3,0.03,BKN,OVC,M
2015-09-23 18:00:00,139,1,0.024691358024691357,69.08,54.45,8.0,0.00,BKN,M,M
2015-12-08 14:30:00,81,1,0.9629629629629629,44.96,79.54,11.4,0.00,SCT,BKN,OVC
2015-09-08 13:30:00,28,0,0,73.04,93.52,11.4,0.02,FEW,BKN,OVC
2015-09-02 14:00:00,28,0,0,87.98,49.79,12.5,0.00,FEW,SCT,SCT
2015-09-06 11:00:00,22,0,0,87.98,51.68,12.5,0.00,FEW,M,M
2015-10-17 11:00:00,41,1,0.32098765432098764,44.96,35.14,6.8,0.00,FEW,BKN,M
2015-12-26 09:00:00,0,0,0,41.00,75.88,13.7,0.00,OVC,M,M
2015-11-28 11:30:00,23,1,0.8395061728395061,37.94,64.29,12.5,0.00,SCT,SCT,BKN
2015-12-14 11:00:00,0,0,0,50.00,86.19,14.8,0.00,SCT,BKN,OVC
2015-12-30 22:30:00,0,0,0,26.96,78.00,6.8,0.00,OVC,M,M
2015-12-27 08:00:00,0,0,0,37.04,88.57,17.1,0.00,BKN,OVC,M
2015-11-16 09:30:00,38,1,0.691358024691358,55.94,45.26,12.5,0.00,SCT,SCT,M
2015-09-11 16:30:00,48,0,0,62.06,59.99,10.3,0.00,FEW,BKN,OVC
2015-11-07 20:00:00,31,1,0.5802469135802469,39.92,62.21,8.0,0.00,CLR,M,M
2015-09-13 22:00:00,0,0,0,59.00,62.07,6.8,0.00,CLR,M,M
2015-10-14 14:00:00,79,1,0.2839506172839506,62.06,37.69,11.4,0.00,CLR,M,M
2015-10-01 18:30:00,1,1,0.12345679012345678,55.04,66.41,11.4,0.00,FEW,M,M
2015-11-13 06:30:00,45,1,0.654320987654321,35.06,75.31,18.2,0.00,FEW,M,M
2015-09-21 17:30:00,314,1,0.0,69.08,41.86,10.3,0.00,CLR,M,M
2015-12-31 13:00:00,0,0,0,26.06,71.04,16.0,0.00,OVC,M,M
2015-10-10 19:00:00,55,1,0.2345679012345679,57.02,59.31,6.8,0.00,BKN,M,M
2015-09-25 23:30:00,0,1,0.04938271604938271,64.94,87.00,4.6,0.00,SCT,M,M
2015-10-19 19:30:00,99,1,0.345679012345679,66.92,33.19,18.2,0.00,BKN,BKN,M
2015-10-01 16:30:00,107,1,0.12345679012345678,57.02,57.29,23.9,0.00,BKN,M,M
2015-11-25 06:00:00,6,1,0.8024691358024691,35.06,78.13,10.3,0.00,FEW,M,M
2015-10-01 22:00:00,12,1,0.12345679012345678,53.96,64.03,20.5,0.00,SCT,M,M
2015-10-02 13:30:00,72,1,0.13580246913580246,57.92,53.20,21.7,0.00,FEW,BKN,M
2015-09-22 20:30:00,84,1,0.012345679012345678,66.02,62.96,3.4,0.00,FEW,M,M
2015-11-10 09:00:00,51,1,0.6172839506172839,51.08,49.97,0.0,0.00,BKN,M,M
2015-09-07 23:00:00,0,0,0,78.98,69.11,3.4,0.00,SCT,BKN,OVC
2015-11-23 18:30:00,101,1,0.7777777777777778,32.00,78.45,6.8,0.00,CLR,M,M
2015-10-13 22:30:00,12,1,0.2716049382716049,53.06,68.50,8.0,0.00,FEW,M,M
2015-12-24 08:00:00,0,0,0,35.06,75.31,14.8,0.00,FEW,SCT,M
2015-11-16 20:00:00,122,1,0.691358024691358,48.02,89.08,12.5,0.00,OVC,M,M
2015-12-23 21:30:00,0,0,0,55.04,66.41,27.4,0.00,FEW,BKN,OVC
2015-10-08 13:30:00,60,1,0.20987654320987653,77.00,48.19,16.0,0.00,FEW,SCT,BKN
2015-12-15 17:30:00,0,0,0,39.92,76.32,8.0,0.00,OVC,M,M
