Day of Week,Time,Attendence,Place in Quarter,W1,W2,W3,W4,W5,W6,W7,W8
5,1800,Not Crowded,0,0,39.92,67.45,9.1,0.00,FEW,M,M
7,2330,Not Crowded,3,0.5540540540540541,46.94,92.78,5.7,0.00,OVC,M,M
4,2030,Not Crowded,0,0,30.02,71.48,6.8,0.00,BKN,BKN,M
7,1500,Moderately Crowded,2,0.36486486486486486,42.08,91.98,8.0,0.00,BKN,OVC,M
2,1630,Not Crowded,0,0,30.02,81.27,9.1,0.00,OVC,M,M
5,1100,Moderately Crowded,3,0.05405405405405406,51.08,40.73,13.7,0.00,FEW,SCT,OVC
4,1200,Not Crowded,2,0.9864864864864865,51.98,37.68,23.9,0.00,FEW,FEW,M
5,800,Not Crowded,3,0.9054054054054054,57.02,89.48,14.8,0.00,OVC,M,M
6,2000,Moderately Crowded,3,0.5405405405405406,48.92,77.14,9.1,0.00,FEW,SCT,SCT
2,1230,Not Crowded,4,0,87.08,55.19,4.6,0.00,BKN,BKN,M
7,1900,Not Crowded,1,0.5061728395061729,55.04,63.72,4.6,0.00,CLR,M,M
2,1930,Not Crowded,0,0,30.02,81.27,8.0,0.00,OVC,M,M
5,2100,Not Crowded,1,0.48148148148148145,48.92,68.51,10.3,0.00,BKN,OVC,M
7,2300,Not Crowded,4,0,69.08,75.40,0.0,0.00,FEW,M,M
1,1300,Not Crowded,3,0.8513513513513513,59.00,53.36,9.1,0.00,FEW,FEW,M
2,2130,Moderately Crowded,2,0.4864864864864865,14.00,73.13,13.7,0.02,BKN,OVC,M
3,1630,Moderately Crowded,0,0,37.94,92.49,19.4,0.00,OVC,M,M
7,1630,Moderately Crowded,3,0.2702702702702703,53.06,73.89,9.1,0.02,FEW,BKN,OVC
3,1500,Moderately Crowded,2,0.12162162162162163,19.04,73.67,9.1,0.00,OVC,M,M
4,2330,Not Crowded,4,0,62.96,77.83,4.6,0.00,SCT,M,M
6,2100,Not Crowded,0,0,75.02,84.34,6.8,0.00,CLR,M,M
4,1530,Jam Packed Very Crowded,0,0,82.94,52.93,17.1,0.00,FEW,BKN,BKN
3,1100,Not Crowded,3,0.5,69.08,67.59,5.7,0.00,FEW,SCT,BKN
3,2300,Not Crowded,1,0.8024691358024691,51.08,68.28,17.1,0.00,OVC,M,M
5,1330,Moderately Crowded,2,0.9054054054054054,53.06,48.16,5.7,0.00,SCT,M,M
7,1600,Not Crowded,0,0,46.94,47.54,18.2,0.00,BKN,BKN,OVC
6,800,Not Crowded,2,0.06756756756756757,35.06,100.00,4.6,0.00,OVC,M,M
5,1500,Not Crowded,4,0,82.04,43.87,14.8,0.00,SCT,BKN,BKN
2,1200,Moderately Crowded,3,0.2972972972972973,48.92,44.14,20.5,0.00,BKN,BKN,M
1,1300,Moderately Crowded,2,0.8513513513513513,62.06,59.99,16.0,0.00,SCT,M,M
4,2230,Not Crowded,3,0.3150684931506849,53.96,80.25,0.0,0.00,FEW,SCT,M
3,1800,Moderately Crowded,3,0.40540540540540543,48.92,58.61,10.3,0.00,SCT,BKN,M
4,800,Not Crowded,2,0.7972972972972973,30.02,88.22,10.3,0.00,BKN,OVC,M
6,930,Moderately Crowded,2,0.25675675675675674,30.02,74.81,3.4,0.00,FEW,BKN,M
6,2300,Not Crowded,4,0,60.08,74.56,0.0,0.00,FEW,M,M
3,930,Not Crowded,0,0,68.00,65.31,10.3,0.00,FEW,BKN,M
6,1930,Not Crowded,3,0.3424657534246575,51.08,56.05,8.0,0.00,BKN,M,M
7,1130,Not Crowded,0,0,68.00,72.92,16.0,0.00,BKN,BKN,OVC
1,2330,Not Crowded,3,0.0945945945945946,39.02,85.55,12.5,0.02,BKN,OVC,M
1,1200,Moderately Crowded,3,0.5675675675675675,66.92,78.66,18.2,0.00,BKN,OVC,M
4,1630,Moderately Crowded,1,0.5555555555555556,68.00,70.15,16.0,0.00,BKN,BKN,OVC
3,2230,Not Crowded,3,0.5,55.94,80.40,5.7,0.00,FEW,FEW,M
6,900,Not Crowded,3,0.6351351351351351,68.00,87.16,6.8,0.01,OVC,M,M
5,1100,Not Crowded,4,0,86.00,69.85,9.1,0.00,SCT,SCT,SCT
6,830,Not Crowded,1,0.9259259259259259,30.02,100.00,5.7,0.00,OVC,M,M
5,1500,Pretty Crowded,1,0.30864197530864196,53.96,33.76,14.8,0.00,SCT,SCT,M
5,1930,Not Crowded,3,0.527027027027027,66.02,93.33,0.0,0.03,OVC,M,M
6,1000,Not Crowded,0,0,41.00,82.09,9.1,0.00,OVC,M,M
1,1600,Moderately Crowded,2,0.6621621621621622,39.92,57.33,9.1,0.00,OVC,M,M
4,1130,Not Crowded,4,0,66.02,65.07,14.8,0.00,SCT,SCT,M
3,1300,Not Crowded,0,0,28.04,74.61,13.7,0.00,OVC,M,M
4,630,Not Crowded,2,0.32432432432432434,32.00,81.42,17.1,0.00,FEW,SCT,M
1,800,Not Crowded,0,0,78.98,71.72,6.8,0.00,FEW,FEW,M
2,1730,Jam Packed Very Crowded,1,0.5308641975308642,60.08,83.41,4.6,0.00,FEW,M,M
7,1000,Not Crowded,2,0.9324324324324325,46.94,89.65,17.1,0.05,OVC,M,M
7,2000,Not Crowded,3,0.2702702702702703,50.00,96.05,12.5,0.01,OVC,M,M
4,1000,Not Crowded,3,0.32432432432432434,46.94,31.12,17.1,0.00,FEW,M,M
5,1400,Not Crowded,4,0,80.06,39.22,0.0,0.00,SCT,SCT,BKN
6,930,Not Crowded,0,0,78.98,66.58,6.8,0.00,FEW,FEW,SCT
4,700,Not Crowded,2,0.4189189189189189,19.94,77.35,10.3,0.00,FEW,FEW,M
5,1830,Moderately Crowded,2,0.14864864864864866,32.00,88.32,19.4,0.00,OVC,M,M
2,1030,Not Crowded,0,0,32.00,85.12,12.5,0.00,OVC,M,M
4,1730,Pretty Crowded,1,0.12345679012345678,57.02,57.29,20.5,0.00,SCT,M,M
6,2100,Not Crowded,3,0.2465753424657534,57.02,50.88,5.7,0.00,CLR,M,M
7,830,Not Crowded,3,0.4594594594594595,66.92,41.81,11.4,0.00,SCT,BKN,M
2,830,Not Crowded,3,0.2972972972972973,42.98,57.35,20.5,0.00,SCT,BKN,M
2,2130,Not Crowded,1,0.012345679012345678,66.02,60.51,0.0,0.00,FEW,M,M
4,1100,Moderately Crowded,3,0.2191780821917808,55.94,34.09,8.0,0.00,FEW,M,M
4,2330,Not Crowded,0,0,37.94,85.49,0.0,0.00,SCT,BKN,M
6,2030,Not Crowded,3,0.25675675675675674,46.94,58.33,11.4,0.00,FEW,BKN,M
7,1700,Moderately Crowded,0,0,82.04,54.50,9.1,0.00,FEW,BKN,BKN
5,1900,Not Crowded,0,0,73.04,81.14,8.0,0.00,FEW,FEW,SCT
5,700,Not Crowded,3,0.14864864864864866,41.00,79.21,18.2,0.00,OVC,M,M
2,1800,Pretty Crowded,1,0.18518518518518517,60.98,77.66,10.3,0.00,FEW,FEW,M
4,600,Not Crowded,1,0.4691358024691358,37.04,75.50,19.4,0.00,FEW,OVC,M
1,1300,Moderately Crowded,1,0.5185185185185185,71.96,31.26,17.1,0.00,SCT,M,M
6,1700,Not Crowded,0,0,50.00,86.19,5.7,0.00,OVC,M,M
2,630,Not Crowded,4,0,62.96,80.93,4.6,0.00,FEW,FEW,M
6,2200,Not Crowded,3,0.8243243243243243,44.96,79.54,18.2,0.00,FEW,OVC,M
2,1130,Not Crowded,0,0,69.08,52.67,11.4,0.00,SCT,M,M
7,2130,Not Crowded,0,0,26.96,71.69,8.0,0.00,OVC,M,M
6,1900,Not Crowded,4,0,75.02,53.52,8.0,0.00,CLR,M,M
2,2300,Not Crowded,1,0.6172839506172839,42.08,64.35,5.7,0.00,FEW,M,M
2,2130,Pretty Crowded,1,0.09876543209876543,55.04,71.60,14.8,0.00,FEW,BKN,M
5,1500,Not Crowded,0,0,80.06,62.29,9.1,0.00,FEW,SCT,SCT
7,730,Not Crowded,3,0.0684931506849315,30.92,58.21,9.1,0.00,BKN,M,M
5,1000,Moderately Crowded,1,0.5679012345679012,50.00,71.07,17.1,0.00,BKN,OVC,M
4,1430,Not Crowded,4,0,80.96,47.23,6.8,0.00,BKN,M,M
7,1000,Not Crowded,2,0.7432432432432432,57.92,53.20,21.7,0.00,FEW,BKN,M
2,700,Moderately Crowded,2,0.581081081081081,24.98,80.87,0.0,0.00,OVC,M,M
2,2230,Not Crowded,1,0.35802469135802467,57.92,86.63,5.7,0.15,OVC,M,M
2,1500,Moderately Crowded,3,0.3835616438356164,44.06,78.91,18.2,0.00,OVC,M,M
7,1830,Not Crowded,0,0,71.96,53.08,12.5,0.00,SCT,M,M
5,2300,Not Crowded,3,0.33783783783783783,41.00,82.09,12.5,0.00,SCT,OVC,M
2,1530,Moderately Crowded,2,0.6756756756756757,42.08,44.34,11.4,0.00,SCT,M,M
5,2030,Not Crowded,0,0,28.94,71.91,10.3,0.00,CLR,M,M
3,1030,Not Crowded,2,0.7837837837837838,24.08,37.68,10.3,0.00,FEW,FEW,M
4,1930,Moderately Crowded,4,0,68.00,65.31,6.8,0.00,FEW,SCT,M
1,900,Not Crowded,0,0,66.02,58.53,14.8,0.00,FEW,M,M
6,2000,Not Crowded,3,0.06756756756756757,48.92,35.80,3.4,0.00,CLR,M,M
1,1530,Moderately Crowded,1,0.08641975308641975,75.92,68.78,5.7,0.00,BKN,OVC,M
5,1430,Moderately Crowded,2,0.527027027027027,21.92,43.38,25.1,0.00,BKN,M,M
6,1400,Moderately Crowded,2,0.16216216216216217,26.96,62.83,10.3,0.00,FEW,M,M
2,1000,Moderately Crowded,3,0.3918918918918919,53.96,50.42,4.6,0.00,CLR,M,M
1,1800,Not Crowded,0,0,82.04,62.53,0.0,0.00,FEW,M,M
3,1300,Moderately Crowded,3,0.0136986301369863,59.00,51.18,23.9,0.00,SCT,BKN,OVC
1,1930,Not Crowded,0,0,42.08,52.73,6.8,0.00,SCT,BKN,BKN
7,1230,Moderately Crowded,1,0.3333333333333333,57.02,30.21,10.3,0.00,FEW,M,M
5,900,Not Crowded,4,0,64.04,89.78,8.0,0.00,BKN,OVC,M
1,2330,Not Crowded,3,0.6621621621621622,50.00,60.89,14.8,0.00,OVC,M,M
5,730,Not Crowded,3,0.05405405405405406,48.92,44.14,9.1,0.00,OVC,M,M
4,1700,Not Crowded,1,0.9876543209876543,48.02,67.92,18.2,0.00,FEW,FEW,SCT
6,1200,Not Crowded,3,0.918918918918919,69.08,54.45,10.3,0.00,FEW,SCT,M
6,1030,Moderately Crowded,2,0.44594594594594594,35.06,66.36,13.7,0.00,SCT,BKN,M
3,930,Not Crowded,1,0.19753086419753085,66.02,65.07,6.8,0.00,FEW,SCT,M
2,1900,Moderately Crowded,3,0.8648648648648649,62.06,55.68,9.1,0.00,BKN,M,M
7,2300,Not Crowded,2,0.5540540540540541,17.96,84.20,10.3,0.00,OVC,M,M
4,930,Moderately Crowded,3,0.5135135135135135,75.92,49.95,10.3,0.00,SCT,SCT,M
2,1600,Moderately Crowded,1,0.7037037037037037,57.92,90.11,17.1,0.01,OVC,M,M
7,2300,Not Crowded,4,0,71.06,75.57,3.4,0.00,BKN,M,M
5,2000,Moderately Crowded,3,0.136986301369863,32.00,63.51,20.5,0.00,SCT,SCT,M
2,2030,Not Crowded,0,0,62.96,70.07,6.8,0.00,OVC,M,M
6,830,Not Crowded,4,0,73.04,63.83,4.6,0.00,SCT,OVC,M
1,1800,Jam Packed Very Crowded,1,0.08641975308641975,73.94,73.49,3.4,0.00,OVC,M,M
1,1030,Not Crowded,0,0,50.00,86.19,14.8,0.00,FEW,BKN,OVC
6,900,Not Crowded,0,0,24.08,77.14,10.3,0.00,CLR,M,M
6,1400,Not Crowded,4,0,78.08,62.05,10.3,0.00,FEW,SCT,BKN
5,2230,Not Crowded,1,0.7407407407407407,32.00,95.73,4.6,0.06,SCT,OVC,M
3,2030,Pretty Crowded,3,0.12162162162162163,39.92,92.56,12.5,0.00,OVC,M,M
6,1230,Not Crowded,4,0,78.98,45.14,6.8,0.00,FEW,M,M
2,900,Not Crowded,2,0.8648648648648649,62.06,64.59,18.2,0.00,FEW,SCT,BKN
7,2000,Not Crowded,0,0,62.06,67.24,6.8,0.00,FEW,M,M
7,2230,Not Crowded,3,0.9324324324324325,71.96,87.35,9.1,0.00,SCT,BKN,OVC
5,1930,Not Crowded,0,0,68.00,96.34,12.5,0.19,BKN,OVC,M
4,1500,Not Crowded,3,0.6081081081081081,64.94,48.30,11.4,0.00,SCT,BKN,BKN
6,1830,Not Crowded,3,0.7297297297297297,78.98,22.89,10.3,0.00,FEW,FEW,SCT
1,2100,Pretty Crowded,3,0.1891891891891892,55.94,32.61,8.0,0.00,FEW,M,M
3,1530,Not Crowded,3,0.972972972972973,82.04,52.47,20.5,0.00,SCT,BKN,BKN
3,1800,Moderately Crowded,1,0.37037037037037035,71.06,58.82,11.4,0.00,FEW,BKN,M
6,800,Not Crowded,3,0.7297297297297297,64.04,35.15,11.4,0.00,SCT,M,M
1,800,Not Crowded,4,0,77.00,59.98,10.3,0.00,SCT,BKN,M
4,2200,Not Crowded,3,0.9864864864864865,59.00,96.20,11.4,0.11,SCT,BKN,OVC
6,730,Not Crowded,3,0.5405405405405406,51.98,96.73,6.8,0.00,OVC,M,M
1,1230,Not Crowded,0,0,84.92,60.98,11.4,0.00,FEW,SCT,BKN
2,800,Moderately Crowded,1,0.2716049382716049,51.98,66.04,17.1,0.00,BKN,M,M
4,2130,Moderately Crowded,3,0.2191780821917808,46.94,49.33,5.7,0.00,BKN,M,M
1,1300,Not Crowded,1,0.9506172839506173,35.96,96.49,9.1,0.00,OVC,M,M
3,1830,Moderately Crowded,4,0,73.94,61.92,9.1,0.00,SCT,BKN,OVC
5,1730,Not Crowded,1,0.8271604938271605,35.96,78.79,13.7,0.00,OVC,M,M
7,1200,Moderately Crowded,2,0.6486486486486487,39.02,72.46,11.4,0.00,BKN,OVC,M
7,2000,Moderately Crowded,3,0.1643835616438356,48.02,96.02,9.1,0.00,OVC,M,M
5,800,Not Crowded,3,0.7162162162162162,57.02,47.08,9.1,0.00,CLR,M,M
3,900,Not Crowded,0,0,62.06,72.33,8.0,0.00,FEW,OVC,M
6,2230,Not Crowded,2,0.5405405405405406,12.02,47.84,3.4,0.00,BKN,M,M
1,1230,Moderately Crowded,1,0.0,69.98,43.75,3.4,0.00,CLR,M,M
7,1700,Not Crowded,0,0,71.96,51.36,14.8,0.00,SCT,M,M
3,1430,Moderately Crowded,3,0.3972602739726027,46.94,73.79,5.7,0.00,BKN,BKN,OVC
7,1600,Moderately Crowded,1,0.6790123456790124,57.92,38.94,9.1,0.00,FEW,M,M
1,1500,Not Crowded,4,0,84.92,63.27,12.5,0.00,FEW,FEW,SCT
4,2300,Not Crowded,0,0,24.08,70.81,17.1,0.00,BKN,M,M
4,630,Not Crowded,4,0,66.92,75.69,8.0,0.00,CLR,M,M
7,1030,Not Crowded,0,0,57.02,54.95,5.7,0.00,OVC,M,M
7,700,Not Crowded,2,0.36486486486486486,39.92,92.56,0.0,0.00,OVC,M,M
5,1900,Moderately Crowded,3,0.05405405405405406,33.98,78.62,9.1,0.00,FEW,SCT,M
4,1130,Not Crowded,1,0.8148148148148148,55.04,86.47,17.1,0.01,BKN,OVC,M
2,1100,Pretty Crowded,3,0.2876712328767123,53.96,66.28,14.8,0.00,SCT,SCT,OVC
5,1800,Not Crowded,1,0.8271604938271605,35.06,81.65,13.7,0.00,OVC,M,M
1,1430,Not Crowded,3,0.6621621621621622,73.94,41.21,20.5,0.00,FEW,FEW,M
6,1300,Moderately Crowded,3,0.16216216216216217,59.00,38.83,8.0,0.00,FEW,M,M
3,2130,Not Crowded,1,0.024691358024691357,64.94,75.51,4.6,0.00,SCT,M,M
7,1730,Moderately Crowded,1,0.41975308641975306,53.06,54.38,4.6,0.00,FEW,M,M
2,1330,Moderately Crowded,2,0.8648648648648649,69.08,54.45,18.2,0.00,OVC,M,M
4,1200,Not Crowded,2,0.8918918918918919,50.00,60.89,6.8,0.00,FEW,OVC,M
7,1130,Not Crowded,0,0,84.92,59.14,8.0,0.00,BKN,BKN,M
3,2330,Not Crowded,2,0.8783783783783784,48.92,77.14,13.7,0.00,SCT,BKN,OVC
6,1000,Not Crowded,0,0,75.92,73.68,8.0,0.00,SCT,SCT,BKN
5,2030,Moderately Crowded,3,0.14864864864864866,44.96,70.52,11.4,0.00,FEW,M,M
4,1930,Not Crowded,3,0.6081081081081081,57.02,80.49,11.4,0.02,SCT,SCT,OVC
5,1600,Moderately Crowded,3,0.9054054054054054,62.96,67.34,19.4,0.00,SCT,M,M
4,1130,Moderately Crowded,1,0.20987654320987653,73.04,55.01,12.5,0.00,SCT,M,M
6,2230,Not Crowded,0,0,57.02,77.32,0.0,0.00,FEW,M,M
7,1100,Moderately Crowded,1,0.5061728395061729,60.08,45.60,14.8,0.00,FEW,M,M
4,2100,Not Crowded,3,0.7027027027027027,60.08,43.71,5.7,0.00,CLR,M,M
2,1630,Pretty Crowded,1,0.4444444444444444,55.94,61.67,18.2,0.02,OVC,M,M
7,1430,Not Crowded,0,0,50.00,42.39,20.5,0.00,SCT,BKN,M
5,1400,Moderately Crowded,3,0.0410958904109589,48.02,58.07,9.1,0.00,FEW,BKN,OVC
4,2200,Not Crowded,1,0.8148148148148148,57.02,83.21,16.0,0.00,OVC,M,M
5,700,Not Crowded,4,0,69.98,61.02,9.1,0.00,FEW,FEW,M
1,2030,Pretty Crowded,2,0.28378378378378377,39.02,95.86,11.4,0.00,OVC,M,M
3,830,Pretty Crowded,3,0.7837837837837838,66.92,72.81,13.7,0.00,BKN,M,M
5,2330,Not Crowded,0,0,37.04,88.57,8.0,0.00,FEW,SCT,M
4,1200,Not Crowded,0,0,71.06,50.89,4.6,0.00,SCT,M,M
3,2300,Not Crowded,2,0.12162162162162163,24.08,80.80,11.4,0.00,SCT,SCT,M
6,930,Moderately Crowded,1,0.6666666666666666,44.06,53.03,11.4,0.00,BKN,M,M
6,630,Not Crowded,1,0.5802469135802469,37.04,88.57,6.8,0.00,FEW,M,M
5,1200,Moderately Crowded,1,0.7407407407407407,39.92,35.95,9.1,0.00,SCT,OVC,M
6,630,Not Crowded,0,0,57.02,77.32,6.8,0.00,OVC,M,M
3,1000,Not Crowded,3,0.40540540540540543,59.00,40.54,6.8,0.00,SCT,M,M
4,1600,Moderately Crowded,2,0.7972972972972973,30.92,85.05,11.4,0.00,OVC,M,M
2,2230,Not Crowded,4,0,68.00,63.21,5.7,0.00,FEW,M,M
1,1830,Moderately Crowded,1,0.9506172839506173,35.96,92.43,10.3,0.00,OVC,M,M
4,1300,Moderately Crowded,2,0.22972972972972974,26.06,62.70,0.0,0.00,FEW,BKN,M
6,900,Not Crowded,3,0.35135135135135137,42.98,85.79,14.8,0.03,OVC,M,M
1,1130,Not Crowded,4,0,77.00,76.57,11.4,0.00,FEW,SCT,BKN
7,730,Not Crowded,0,0,30.92,75.46,9.1,0.00,SCT,SCT,M
7,1400,Not Crowded,0,0,53.96,66.28,17.1,0.00,BKN,BKN,BKN
7,2130,Not Crowded,4,0,73.40,78.19,9.1,0.00,SCT,M,M
2,700,Moderately Crowded,3,0.0,37.94,89.25,3.4,0.00,FEW,M,M
6,830,Not Crowded,2,0.35135135135135137,35.96,85.37,8.0,0.00,BKN,OVC,M
2,1930,Not Crowded,3,0.6756756756756757,44.96,62.87,8.0,0.00,BKN,M,M
5,2300,Not Crowded,1,0.30864197530864196,39.92,57.33,9.1,0.00,CLR,M,M
4,1300,Not Crowded,1,0.2962962962962963,64.04,42.82,8.0,0.00,FEW,BKN,M
6,1500,Not Crowded,4,0,73.94,39.85,13.7,0.00,FEW,FEW,SCT
7,1030,Not Crowded,0,0,84.92,56.98,6.8,0.00,FEW,M,M
5,1830,Moderately Crowded,2,0.6216216216216216,48.92,60.74,25.1,0.00,FEW,M,M
6,2030,Not Crowded,4,0,78.98,56.18,10.3,0.00,FEW,BKN,M
6,1030,Not Crowded,0,0,44.96,68.05,6.8,0.00,FEW,M,M
2,2130,Not Crowded,4,0,57.02,66.65,6.8,0.00,FEW,BKN,M
6,1300,Moderately Crowded,1,0.4074074074074074,59.00,80.64,18.2,0.00,BKN,OVC,M
1,1530,Moderately Crowded,0,0,80.06,71.39,3.4,0.00,SCT,BKN,OVC
6,1700,Not Crowded,3,0.6351351351351351,77.00,68.90,10.3,0.00,FEW,FEW,SCT
7,930,Not Crowded,1,0.07407407407407407,64.94,90.39,9.1,0.00,BKN,BKN,OVC
4,1430,Moderately Crowded,2,0.4189189189189189,30.92,49.01,6.8,0.00,FEW,FEW,SCT
5,2200,Not Crowded,4,0,69.08,56.66,3.4,0.00,SCT,M,M
5,800,Not Crowded,0,0,24.98,62.55,14.8,0.00,SCT,M,M
6,1800,Not Crowded,0,0,42.08,100.00,8.0,0.00,OVC,M,M
4,600,Not Crowded,2,0.04054054054054054,33.98,72.45,8.0,0.00,OVC,M,M
4,1300,Not Crowded,4,0,82.94,47.52,13.7,0.00,BKN,BKN,M
3,2330,Not Crowded,2,0.5945945945945946,26.96,71.69,4.6,0.00,OVC,M,M
6,1130,Moderately Crowded,3,0.2465753424657534,73.04,35.36,8.0,0.00,CLR,M,M
5,1130,Moderately Crowded,2,0.14864864864864866,37.94,82.46,10.3,0.00,BKN,OVC,M
4,830,Not Crowded,4,0,73.04,73.41,10.3,0.00,FEW,SCT,M
5,1330,Not Crowded,0,0,46.04,51.03,3.4,0.00,SCT,SCT,M
4,1230,Not Crowded,1,0.2962962962962963,60.98,47.70,5.7,0.01,OVC,M,M
3,1130,Moderately Crowded,2,0.12162162162162163,10.94,72.79,12.5,0.00,BKN,OVC,M
5,2130,Not Crowded,3,0.9054054054054054,57.02,77.32,17.1,0.00,FEW,FEW,M
6,1530,Pretty Crowded,0,0,69.98,40.59,12.5,0.00,BKN,M,M
3,600,Not Crowded,0,0,42.08,91.98,18.2,0.08,FEW,BKN,OVC
6,1930,Not Crowded,0,0,35.96,75.39,8.0,0.00,SCT,BKN,BKN
7,730,Not Crowded,0,0,33.98,75.20,13.7,0.00,OVC,M,M
7,1530,Not Crowded,3,0.7432432432432432,69.08,60.91,6.8,0.00,BKN,BKN,OVC
3,2130,Pretty Crowded,1,0.5432098765432098,62.06,86.29,9.1,0.00,SCT,M,M
1,1100,Not Crowded,3,0.7567567567567568,69.08,86.66,14.8,0.01,BKN,OVC,M
2,1100,Not Crowded,3,0.7702702702702703,71.96,78.57,16.0,0.00,OVC,M,M
7,1630,Moderately Crowded,2,0.2702702702702703,30.02,74.81,0.0,0.00,FEW,FEW,OVC
5,630,Moderately Crowded,0,0,42.08,70.20,9.1,0.00,BKN,M,M
6,900,Moderately Crowded,1,0.2345679012345679,55.04,68.73,9.1,0.00,FEW,BKN,M
3,1600,Moderately Crowded,2,0.972972972972973,55.04,38.19,26.2,0.00,SCT,BKN,BKN
6,2330,Not Crowded,0,0,69.98,65.54,6.8,0.00,BKN,BKN,OVC
7,1800,Not Crowded,2,0.7432432432432432,51.98,61.15,23.9,0.00,SCT,BKN,OVC
5,930,Not Crowded,4,0,78.98,56.18,4.6,0.00,FEW,SCT,BKN
7,1830,Not Crowded,1,0.8518518518518519,37.04,81.80,6.8,0.00,FEW,BKN,BKN
1,600,Not Crowded,0,0,62.06,100.00,0.0,0.00,FEW,SCT,M
5,1030,Not Crowded,1,0.2222222222222222,57.02,68.95,13.7,0.00,BKN,BKN,OVC
4,2100,Not Crowded,4,0,71.96,68.35,8.0,0.00,OVC,M,M
6,800,Not Crowded,2,0.6351351351351351,50.00,45.97,19.4,0.00,FEW,M,M
2,1500,Moderately Crowded,1,0.6172839506172839,53.06,42.58,6.8,0.00,FEW,SCT,M
6,1330,Not Crowded,3,0.6351351351351351,73.94,76.31,9.1,0.00,FEW,FEW,BKN
6,600,Not Crowded,2,0.16216216216216217,24.98,74.29,10.3,0.00,CLR,M,M
2,1630,Moderately Crowded,2,0.013513513513513514,30.92,68.92,9.1,0.00,FEW,BKN,M
1,1300,Moderately Crowded,3,0.273972602739726,80.96,21.45,0.0,0.00,SCT,M,M
2,2300,Not Crowded,3,0.3835616438356164,44.06,82.31,13.7,0.00,FEW,OVC,M
5,800,Not Crowded,3,0.3287671232876712,44.96,85.90,12.5,0.00,OVC,M,M
3,1030,Moderately Crowded,3,0.5945945945945946,48.02,60.62,10.3,0.00,FEW,M,M
6,1300,Moderately Crowded,1,0.06172839506172839,73.94,57.32,11.4,0.00,FEW,SCT,M
5,800,Pretty Crowded,3,0.8108108108108109,75.02,70.88,6.8,0.00,FEW,FEW,BKN
1,1430,Not Crowded,4,0,73.04,65.90,8.0,0.00,FEW,BKN,BKN
1,1700,Moderately Crowded,0,0,80.06,40.54,20.5,0.00,FEW,M,M
6,1200,Moderately Crowded,3,0.06756756756756757,51.08,31.57,21.7,0.00,CLR,M,M
2,1100,Moderately Crowded,3,0.8648648648648649,68.00,43.44,10.3,0.00,FEW,FEW,M
3,2330,Not Crowded,4,0,66.92,81.22,5.7,0.00,FEW,OVC,M
